domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"uio.no","true",1,1,1,"harica.gr"
"google.no","true",1,0,0,"pki.goog"
"dnb.no","true",4,3,1,"amazon.com;buypass.com;digicert.com;letsencrypt.org"
"online.no","true",5,6,1,"buypass.no;letsencrypt.org;sectigo.com;telenor.net;trust-provider.com;usertrust.com"
"uninett.no","true",4,2,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"nav.no","true",3,0,1,"buypass.com;digicert.com;sectigo.com"
"dn.no","true",5,0,0,"amazonaws.com;certainly.com;digicert.com;pki.goog;sectigo.com"
"sparebank1.no","true",5,4,1,"amazonaws.com;buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"telenor.no","true",8,3,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;digicert.com;letsencrypt.org;sectigo.com;telenor.net"
"norid.no","true",1,0,0,"letsencrypt.org"
"vegvesen.no","true",1,1,0,"globalsign.com"
"helsenorge.no","true",2,1,1,"digicert.com;letsencrypt.org"
"digitalarkivet.no","true",2,0,0,"harica.gr;sectigo.com"
"snl.no","true",2,0,0,"letsencrypt.org;pki.googl"
"norsk-tipping.no","true",6,3,1,"amazonaws.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"nb.no","true",3,1,0,"harica.gr;letsencrypt.org;sectigo.com"
"blogspot.no","true",1,0,0,"pki.goog"
"abcnyheter.no","true",5,2,0,"amazon.com;amazonaws.com;digicert.com;letsencrypt.org;pki.goog"
"bankid.no","true",7,6,1,"buypass.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"oslomet.no","true",2,2,1,"harica.gr;letsencrypt.org"
"domeneshop.no","true",2,1,1,"digicert.com;letsencrypt.org"
"idporten.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"bib.no","true",1,0,0,"globalsign.com"
"digdir.no","true",5,0,1,"buypass.no;commfides.com;digicert.com;letsencrypt.org;sectigo.com"
"nextra.no","true",1,1,1,"buypass.no;telenor.net"
"nordnet.no","true",1,1,1,"digicert.com"
"nordea.no","true",6,0,2,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"gulesider.no","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"rikstoto.no","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"storebrand.no","true",7,0,1,"amazon.com;buypass.no;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog"
"forbrukerradet.no","true",3,2,0,"digicert.com;letsencrypt.org;sectigo.com"
"unit.no","true",3,1,1,"amazon.com;harica.gr;letsencrypt.org"
"fiken.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"mykid.no","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ving.no","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"udi.no","true",4,0,1,"buypass.no;geotrust.com;letsencrypt.org;sectigo.com"
"stortinget.no","true",9,3,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.com;buypass.no;harica.gr;letsencrypt.org;pki.goog"
"pcsupport.no","true",5,3,1,"buypass.no;globalsign.com;letsencrypt.com;letsencrypt.org;trustzone.com"
"bi.no","true",4,1,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"netclient.no","true",1,0,0,"none"
"gjensidige.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;pki.goog"
"sikt.no","true",4,3,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"lanekassen.no","true",3,1,0,"buypass.com;buypass.no;digicert.com"
"digipost.no","true",2,1,1,"buypass.no;letsencrypt.org"
"npolar.no","true",7,0,2,"buypass.com;buypass.no;globalsign.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"airbnb.no","true",1,0,1,"digicert.com"
"wideroe.no","true",9,6,0,"awstrust.com;buypass.no;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"norge.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"vitusapotek.no","true",4,2,0,"comodoca.com.;globalsign.com;letsencrypt.org;sectigo.com"
"bibsys.no","true",3,1,1,"amazon.com;harica.gr;letsencrypt.org"
"vktv.no","true",1,0,0,"letsencrypt.org"
"kartverket.no","true",3,1,1,"buypass.com;digicert.com;letsencrypt.org"
"miljodirektoratet.no","true",6,0,1,"buypass.no;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"strawberry.no","true",5,0,0,"Digicert.com;amazonaws.com;buypass.com;letsencrypt.org;sectigo.com"
"imusic.no","true",1,0,0,"letsencrypt.org"
"tikt.no","true",4,3,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"sykehuspartner.no","true",6,0,1,"buypass.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"ellos.no","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"visa.no","true",0,0,1,""
"myheritage.no","true",1,0,0,"www.digicert.com"
"mattilsynet.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;pki.goog"
"hi.no","true",2,0,1,"digicert.com;letsencrypt.org"
"mnemonic.no","true",1,0,0,"digicert.com"
"abcmedia.no","true",1,0,0,"letsencrypt.org"
"nilu.no","true",1,1,0,"harica.gr"
"mensa.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"banenor.no","true",2,0,1,"buypass.no;digicert.com"
"cmi.no","true",3,1,0,"digicert.com;harica.gr;sectigo.com"
"utdanning.no","true",2,0,0,"harica.gr;sectigo.com"
"inn.no","true",2,0,1,"harica.gr;letsencrypt.org"
"miljofyrtarn.no","true",4,0,0,"buypass.com;letsencrypt.org;pki.goog;www.digicert.com"
"braathe.no","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"spv.no","true",6,0,0,"amazontrust.com;awstrust.com;buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"banknorwegian.no","true",2,0,0,"digicert.com;letsencrypt.org"
"boots.no","true",5,1,0,"buypass.no;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"munchmuseet.no","true",6,5,0,"buypass.no;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"netonnet.no","true",3,0,1,"amazontrust.com;globalsign.com;letsencrypt.org"
"rema.no","true",4,0,1,"digicert.com;entrust.net;pki.goog;sectigo.com"
"dibk.no","true",7,5,0,"buypass.no;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"dustin.no","true",8,6,0,"amazon.com;amazonaws.com;amazontrust.com;amazonws.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"startsiden.no","true",2,0,0,"amazon.com;letsencrypt.org"
"vps.no","true",5,0,0,"comodoca.com;geotrust.com;globalsign.com;letsencrypt.org;symantec.com"
"telia-isp.no","true",3,1,0,"letsencrypt.org;sonera.net;telia.fi"
"nhn.no","true",5,0,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"reisenett.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"kystverket.no","true",6,0,1,"digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"bankidapis.no","true",7,7,1,"buypass.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"upheads.no","true",5,0,1,"buypass.no;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"gamereactor.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"marinebenefits.no","true",3,0,0,"letsencrypt.org;pki.goog;ssl.com"
"tdc.no","true",1,0,0,"letsencrypt.org"
"arkivverket.no","true",4,0,0,"harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"himolde.no","true",2,0,0,"harica.gr;letsencrypt.org"
"prisradar.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"norceresearch.no","true",2,0,0,"letsencrypt.org;sectigo.com"
"fjordmail.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"apollo.no","true",7,7,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"komplettbedrift.no","true",4,0,0,"comodo.com;globalsign.com;letsencrypt.org;symantec.com"
"hioa.no","true",1,1,1,"harica.gr"
"youtube.no","true",1,0,0,"pki.goog"
"fiskeridir.no","true",3,0,1,"buypass.no;certainly.com;globalsign.com"
"husbanken.no","true",2,1,1,"sectigo.com;www.digicert.com"
"talkmore.no","true",1,0,0,"none"
"eiendomsmegler1.no","true",3,3,1,"amazonaws.com;letsencrypt.org;sectigo.com"
"fredrikoglouisa.no","true",1,0,0,"none"
"thomannmusic.no","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"tjenestetorget.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"miinto.no","true",2,1,0,"certum.pl;digicert.com"
"innocode.no","true",2,0,0,"letsencrypt.org;pki.goog"
"jotex.no","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"handelsbanken.no","true",1,1,1,"digicert.com"
"postkodelotteriet.no","true",2,1,0,"amazon.com;globalsign.com"
"nito.no","true",2,1,0,"letsencrypt.org;pki.goog"
"gard.no","true",3,1,0,"digicert.com;geotrust.com;globalsign.com"
"spk.no","true",1,1,1,"sectigo.com"
"nasjonaleturistveger.no","true",3,1,0,"globalsign.com;letsencrypt.org;pki.goog"
"sticos.no","true",6,6,1,"buypass.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"minid.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"gastroplanner.no","true",1,0,0,"letsencrypt.org"
"ksat.no","true",3,0,0,"harica.gr;letsencrypt.org;pki.goog"
"statnett.no","true",6,1,1,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"nytelse.no","true",7,5,0,"cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"skittfiske.no","true",6,5,0,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"eika.no","true",5,4,0,"buypass.no;digicert.com;geotrust.com;globalsign.com;sectigo.com"
"optimalprint.no","true",5,5,0,"amazonaws.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"ravn.no","true",1,1,1,"letsencrypt.org"
"difi.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"hivolda.no","true",3,1,1,"harica.gr;letsencrypt.org;sectigo.com"
"kron.no","true",1,0,0,"letsencrypt.org"
"kondomeriet.no","true",8,5,0,"amazon.com;cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"sbm.no","true",5,5,1,"globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"frende.no","true",4,0,1,"Digicert.com;awstrust.com;comodoca.com;letsencrypt.org"
"webfokus.no","true",1,0,1,"letsencrypt.org"
"apotekfordeg.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nsm.no","true",6,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"sn.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"firstit.no","true",3,0,0,"digicert.com;letsencrypt.org;sectigo.com"
"skagenfondene.no","true",5,0,1,"amazon.com;buypass.no;globalsign.com;letsencrypt.org;pki.goog"
"nersc.no","true",3,2,1,"globalsign.com;letsencrypt.org;sectigo.com"
"mork.no","true",1,0,0,"letsencrypt.org"
"elma-smp.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"drlinux.no","true",1,0,0,"letsencrypt.org"
"homeroom.no","true",4,2,0,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"vigilo-oas.no","true",4,0,0,"digicert.com;geotrust.com;godaddy.com;www.digicert.com"
"fagmobler.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nuug.no","true",1,0,1,"letsencrypt.org"
"kontorgiganten.no","true",6,6,0,"awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"hipercom.no","true",1,0,0,"none"
"wemail.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nsf.no","true",1,0,1,"buypass.no"
"emp-shop.no","true",8,7,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org;sectigo.com"
"ffi.no","true",5,0,0,"digicert.com;godaddy.com;letsencrypt.org;microsoft.com;sectigo.com"
"webgate.no","true",6,5,1,"comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"folio.no","true",2,0,0,"letsencrypt.org;pki.goog"
"ife.no","true",4,4,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"mrfylke.no","true",3,0,0,"buypass.com;buypass.no;digicert.com"
"moller.no","true",7,6,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"justervesenet.no","true",2,0,0,"comodoca.com;letsencrypt.org"
"kryssordkjempen.no","true",1,0,0,"letsencrypt.org"
"itpays.no","true",2,0,0,"comodoca.com;letsencrypt.org"
"com4.no","true",3,2,1,"digicert.com;letsencrypt.org;pki.goog"
"gibud.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"skagerraksparebank.no","true",5,4,0,"buypass.no;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"ktv.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"bouvet.no","true",11,7,1,"amazon.com;comodo.com;comodoca.com;digicert.com;fastname.no;letsencrypt.org;pki.goog;sectigo.com;ssl.com;trust-provider.com;usertrust.com"
"dips.no","true",5,0,1,"buypass.com;buypass.no;digicert.com;godaddy.com;letsencrypt.org"
"sbanken.no","true",5,0,1,"awstrust.com;buypass.com;digicert.com;letsencrypt.org;pki.goog"
"danskebank.no","true",3,1,1,"amazon.com;buypass.com;globalsign.com"
"730.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"egcloud.no","true",1,1,0,"letsencrypt.org"
"dyreparken.no","true",11,7,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"10gb.no","true",1,0,0,"letsencrypt.org"
