domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"google.se","true",1,0,0,"pki.goog"
"loopia.se","true",2,2,1,"digicert.com;sectigo.com"
"netnod.se","true",2,1,1,";letsencrypt.org;netnod.se"
"blocket.se","true",5,0,0,"amazon.com;certainly.com;digicert.com;letsencrypt.org;pki.goog"
"hitta.se","true",3,3,0,"amazon.com;digicert.com;letsencrypt.org"
"svd.se","true",6,0,0,"amazon.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"kth.se","true",4,0,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"ntp.se","true",1,1,1,";letsencrypt.org"
"gu.se","true",5,0,0,"digicert.com;godaddy.com;harica.gr;letsencrypt.org;sectigo.com"
"pomf.se","true",2,2,0,"letsencrypt.org;sectigo.com"
"tele2.se","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"blogspot.se","true",1,0,0,"pki.goog"
"skatteverket.se","true",2,1,1,";digicert.com;expisoft.se"
"stockholm.se","true",4,0,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org"
"polisen.se","true",1,0,1,"digicert.com"
"riksdagen.se","true",3,1,0,";digicert.com;harica.gr;sectigo.com"
"tv4.se","true",6,0,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;telia.com"
"transportstyrelsen.se","true",1,1,0,"digicert.com"
"fortnox.se","true",7,6,0,"comodoca.com;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog;ssl.com"
"seb.se","true",7,0,2,"amazonaws.com;buypass.no;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
"egensajt.se","true",1,0,0,"letsencrypt.org"
"goteborg.se","true",3,1,1,"amazonaws.com;letsencrypt.org;telia.com"
"eniro.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"trafikverket.se","true",3,2,0,"digicert.com;telia.com;telia.se"
"arbetsformedlingen.se","true",3,0,3,"digicert.com;globalsign.com;letsencrypt.org"
"handelsbanken.se","true",1,1,1,";digicert.com"
"pinterest.se","true",1,0,0,"digicert.com"
"broadview.se","true",2,0,0,"letsencrypt.org;sectigo.com"
"booli.se","true",10,5,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nordea.se","true",5,0,2,"digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"domainnetwork.se","true",1,0,0,"sectigo.com"
"ellos.se","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"klaravik.se","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"vackertvader.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"tink.se","true",5,0,1,"amazon.com;digicert.com;letsencrypt.org;multicert.com;sectigo.com"
"ving.se","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"comviq.se","true",2,0,1,"letsencrypt.org;sectigo.com"
"csn.se","true",2,2,0,"digicert.com;telia.com"
"netonnet.se","true",3,0,1,"amazontrust.com;globalsign.com;letsencrypt.org"
"pensionsmyndigheten.se","true",2,1,1,";expisoft.se;globalsign.com"
"marcusoscarsson.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ancestry.se","true",6,5,0,"amazon.com;comodoca.com;digicert.com;globalsign.com;pki.goog;thawte.com"
"hornbach.se","true",5,4,1,"amazon.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
