domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"ku.dk","true",7,2,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"webhosting.dk","true",2,0,0,"letsencrypt.org;sectigo.com"
"google.dk","true",1,0,0,"pki.goog"
"lectio.dk","true",1,0,0,"thawte.com"
"tv2.dk","true",11,9,0,"affirmtrust.com;amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;rapidssl.com"
"au.dk","true",6,3,1,"amazon.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"aau.dk","true",2,2,0,"godaddy.com;letsencrypt.org"
"mitid.dk","true",7,0,0,"buypass.com;digicert.com;entrust.net;globalsign.com;identrust.com;letsencrypt.org;sectigo.com"
"sdu.dk","true",7,2,1,"amazon.com;amazonaws.com;amazontrust.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org"
"danskespil.dk","true",3,0,1,"awstrust.com;digicert.com;letsencrypt.org"
"dk-hostmaster.dk","true",2,1,1,";letsencrypt.org;sectigo.com"
"cbs.dk","true",7,7,0,"comodoca.com;digicert.com;harica.gr;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"datatilsynet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"fibianet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"blogspot.dk","true",1,0,0,"pki.goog"
"krak.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"danskebank.dk","true",6,1,1,";amazon.com;comodoca.com;digicert.com;entrust.net;globalsign.com;letsencrypt.org"
"dsb.dk","true",4,4,0,"amazontrust.com;awstrust.com;digicert.com;letsencrypt.org"
"pinterest.dk","true",1,0,0,"digicert.com"
"stil.dk","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"nordea.dk","true",5,0,2,"digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"netic.dk","true",3,1,1,"digicert.com;globalsign.com;letsencrypt.org"
"bet365.dk","true",2,0,0,"digicert.com;pki.goog"
"nordnet.dk","true",1,1,1,";digicert.com"
"virk.dk","true",6,6,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"ioi.dk","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"chosting.dk","true",3,0,0,"comodo.com;comodoca.com;letsencrypt.org"
"jemogfix.dk","true",2,0,0,"digicert.com;letsencrypt.org"
"ipapercms.dk","true",4,0,0,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"klaravik.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"sitnet.dk","true",2,2,1,"digicert.com;sectigo.com"
"netsite.dk","true",2,2,1,"comodoca.com;letsencrypt.org"
"fabel.dk","true",2,0,0,"certainly.com;letsencrypt.org"
"imusic.dk","true",1,1,0,"letsencrypt.org"
"nhl-data.dk","true",2,2,1,"digicert.com;letsencrypt.org;sectigo.com"
"thomann.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"regionh.dk","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"sundhed.dk","true",3,0,0,"amazon.com;digicert.com;letsencrypt.org"
"fdm.dk","true",3,2,1,"amazon.com;digicert.com;globalsign.com"
"workbox.dk","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ens.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"deic.dk","true",3,2,0,"harica.gr;letsencrypt.org;sectigo.com"
"lex.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.googl"
"coolshop.dk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"punktum.dk","true",3,3,1,";digicert.com;letsencrypt.org;sectigo.com"
"myheritage.dk","true",1,0,0,"www.digicert.com"
"spies.dk","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"unilogin.dk","true",1,0,1,"letsencrypt.org"
"tivolicasino.dk","true",2,0,1,"digicert.com;letsencrypt.org"
"bibliotek.dk","true",1,0,1,"letsencrypt.org"
"nyheder24.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
