domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"googleapis.com","true",1,0,0,"pki.goog"
"microsoft.com","true",0,0,0,""
"youtube.com","true",1,0,0,"pki.goog"
"cloudflare.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"instagram.com","true",1,0,0,"digicert.com"
"facebook.com","true",1,0,0,"digicert.com"
"office.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"gstatic.com","true",1,0,0,"pki.goog"
"live.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"googlevideo.com","true",1,0,0,"pki.goog"
"linkedin.com","true",0,0,0,""
"microsoftonline.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"googletagmanager.com","true",1,0,0,"pki.goog"
"mail.ru","true",3,0,0,"globalsign.com;harica.gr;visa.com"
"fbcdn.net","true",1,0,0,"digicert.com"
"github.com","true",4,3,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"azure.com","true",0,0,0,""
"doubleclick.net","true",1,0,0,"pki.goog"
"windowsupdate.com","true",0,0,0,""
"netflix.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"digicert.com","true",1,1,0,"digicert.com"
"bing.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"googleusercontent.com","true",1,0,0,"pki.goog"
"e2ro.com","true",2,1,1,"amazon.com;letsencrypt.org"
"fastly.net","true",3,0,1,"certainly.com;globalsign.com;letsencrypt.org"
"apple-dns.net","true",1,1,1,"pki.apple.com"
"whatsapp.net","true",1,0,0,"digicert.com"
"aaplimg.com","true",1,1,1,"pki.apple.com"
"office.net","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"youtu.be","true",1,0,0,"pki.goog"
"apple.com","true",1,1,1,"pki.apple.com"
"pinterest.com","true",1,0,0,"digicert.com"
"wordpress.org","true",1,0,1,"letsencrypt.org"
"icloud.com","true",1,1,1,"pki.apple.com"
"googlesyndication.com","true",1,0,0,"pki.goog"
"windows.net","true",0,0,0,""
"trafficmanager.net","true",0,0,0,""
"yahoo.com","true",3,0,1,"digicert.com;globalsign.com;sectigo.com"
"sharepoint.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"goo.gl","true",1,0,0,"pki.goog"
"skype.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"whatsapp.com","true",1,0,0,"digicert.com"
"cloudfront.net","true",0,2,0,"amazonaws.com;digicert.com"
"vimeo.com","true",5,4,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"wikipedia.org","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"msn.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"gvt2.com","true",1,0,0,"pki.goog"
"ytimg.com","true",1,0,0,"pki.goog"
"gvt1.com","true",1,0,0,"pki.goog"
"zoom.us","true",6,0,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"google-analytics.com","true",1,0,0,"pki.goog"
"yandex.net","true",1,1,0,"globalsign.com"
"googledomains.com","true",1,0,0,"pki.goog"
"wa.me","true",1,0,0,"digicert.com"
"office365.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"cloudflare-dns.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"bit.ly","true",1,1,1,";digicert.com"
"opera.com","true",4,0,1,"digicert.com;globalsign.com;sectigo.com;trust-provider.com"
"windows.com","true",0,0,0,""
"sentry.io","true",2,0,1,"digicert.com;letsencrypt.org"
"wordpress.com","true",1,1,1,"letsencrypt.org"
"mozilla.org","true",10,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;certainly.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"reddit.com","true",2,0,0,"digicert.com;pki.goog"
"yandex.ru","true",1,1,0,"globalsign.com"
"criteo.com","true",5,0,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"googleadservices.com","true",1,0,0,"pki.goog"
"blogspot.com","true",1,0,0,"pki.goog"
"dns.google","true",2,0,0,"pki.goog"
"dropbox.com","true",3,0,0,"amazonaws.com;digicert.com;letsencrypt.org"
"github.io","true",3,3,0,"digicert.com;letsencrypt.org;sectigo.com"
"roblox.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"gravatar.com","true",1,0,0,"letsencrypt.org"
"apache.org","true",3,0,1,"globalsign.com;letsencrypt.org;sectigo.com"
"outlook.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"app-measurement.com","true",1,0,0,"pki.goog"
"pki.goog","true",1,0,0,"pki.goog"
"cloud.microsoft","true",2,0,1,"digicert.com;microsoft.com"
"steamserver.net","true",2,0,1,"digicert.com;letsencrypt.org"
"msftncsi.com","true",0,0,1,""
"app-analytics-services.com","true",1,0,0,"pki.goog"
"f5.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
"tumblr.com","true",4,0,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog"
"ggpht.com","true",1,0,0,"pki.goog"
"nytimes.com","true",9,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;symantec.com"
"paypal.com","true",3,0,0,"digicert.com;quovadisglobal.com;visa.com"
"nih.gov","true",8,7,0,"amazon.com;digicert.com;entrust.net;globalsign.com;godaddy.com;identrust.com;letsencrypt.org;sectigo.com"
"intuit.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"msftconnecttest.com","true",0,0,1,""
"medium.com","true",7,3,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog"
"cdn-apple.com","true",1,1,1,"pki.apple.com"
"flickr.com","true",4,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org"
"aliyuncs.com","true",1,0,1,"globalsign.com"
"azurefd.net","true",3,2,0,"digicert.com;microsoft.com"
"adtrafficquality.google","true",1,0,0,"pki.goog"
"soundcloud.com","true",9,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"nflxso.net","true",2,0,0,"pki.goog;thawte.com"
"taboola.com","true",1,1,1,"digicert.com"
"lencr.org","true",8,8,0,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com;www.digicert.com"
"azurewebsites.net","true",0,0,0,""
"doubleverify.com","true",4,8,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;microsoft.com;pki.apple.com;pki.goog;sectigo.com"
"forbes.com","true",7,0,1,"amazon.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"health.mil","true",3,0,0,"digicert.com;entrust.net;identrust.com"
"w3.org","true",7,6,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"azureedge.net","true",4,2,0,"digicert.com;microsoft.com"
"webex.com","true",6,2,1,"amazon.com;digicert.com;globalsign.com;identrust.com;letsencrypt.org;pki.goog"
"sourceforge.net","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"bbc.co.uk","true",3,1,1,"amazon.com;digicert.com;globalsign.com"
"wildberries.ru","true",6,6,0,"comodoca.com;globalsign.com;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"ozon.ru","true",4,4,1,"emsign.com;globalsign.com;harica.gr;letsencrypt.org"
"bbc.com","true",3,1,1,"amazon.com;digicert.com;globalsign.com"
"oracle.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"ubuntu.com","true",3,2,1,"digicert.com;letsencrypt.org"
"researchgate.net","true",3,0,1,"globalsign.com;letsencrypt.org;pki.goog"
"android.com","true",1,0,0,"pki.goog"
"cpanel.net","true",10,0,2,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"youtube-nocookie.com","true",1,0,0,"pki.goog"
"ebay.com","true",3,0,1,"comodoca.com;digicert.com;symantec.com"
"gmail.com","true",1,0,0,"pki.goog"
"cisco.com","true",7,3,1,"amazon.com;digicert.com;globalsign.com;identrust.com;letsencrypt.org;pki.goog;ssl.com"
"static.microsoft","true",2,0,1,"digicert.com;microsoft.com"
"yandex.com","true",1,1,0,"globalsign.com"
"openx.net","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"mozilla.com","true",9,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"who.int","true",5,1,0,"digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"launchpad.net","true",3,2,1,"digicert.com;letsencrypt.org"
"stripe.com","true",3,0,1,"amazon.com;digicert.com;visa.com"
"facebook.net","true",1,0,0,"digicert.com"
"openai.com","true",6,5,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"weather.com","true",6,0,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"wikimedia.org","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"tinyurl.com","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"opendns.com","true",8,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;identrust.com;letsencrypt.org;quovadisglobal.com"
"launchdarkly.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"cdngslb.com","true",1,0,0,"globalsign.com"
"ampproject.org","true",1,0,0,"pki.goog"
"googleblog.com","true",1,0,0,"pki.goog"
"steampowered.com","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"mzstatic.com","true",1,1,1,"pki.apple.com"
"netflix.net","true",8,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;entrust.net;letsencrypt.org;pki.goog"
"dnsmadeeasy.com","true",3,3,0,"digicert.com;letsencrypt.org;sectigo.com"
"crashlytics.com","true",1,0,0,"pki.goog"
"debian.org","true",1,1,1,";letsencrypt.org"
"fastly-edge.com","true",3,0,1,"certainly.com;globalsign.com;letsencrypt.org"
"cloudflareinsights.com","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"slack.com","true",2,0,1,"digicert.com;letsencrypt.org"
"clarity.ms","true",0,0,0,""
"washingtonpost.com","true",5,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;entrust.net"
"alidns.com","true",1,0,0,"globalsign.com"
"dell.com","true",1,0,1,"digicert.com"
"aliyun.com","true",1,0,1,"globalsign.com"
"arubanetworks.com","true",8,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"checkpoint.com","true",7,6,1,"amazon.com;digicert.com;globalsign.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"slideshare.net","true",2,2,0,"amazon.com;letsencrypt.org"
"xboxlive.com","true",0,0,0,""
"bloomberg.com","true",2,1,1,"amazon.com;digicert.com"
"tp-link.com","true",4,0,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org"
"cloudns.net","true",3,2,1,"comodoca.com;letsencrypt.org;sectigo.com"
"expireddomains.com","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"google.com.br","true",1,0,0,"pki.goog"
"wp.com","true",1,0,0,"letsencrypt.org"
"sfx.ms","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"independent.co.uk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"2mdn.net","true",1,0,0,"pki.goog"
"calendly.com","true",8,8,1,"amazon.com;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"netangels.ru","true",2,0,0,"globalsign.com;letsencrypt.org"
"safebrowsing.apple","true",1,1,1,"pki.apple.com"
"nflxvideo.net","true",3,0,0,"letsencrypt.org;pki.goog;thawte.com"
"steamcommunity.com","true",2,0,1,"digicert.com;letsencrypt.org"
"quora.com","true",2,0,0,"letsencrypt.org;pki.goog"
"gamepass.com","true",0,0,0,""
"statista.com","true",5,0,1,"amazon.com;digicert.com;letsencrypt.org;pki.dfn.de;sectigo.com"
"gnu.org","true",1,0,0,"letsencrypt.org"
"cookiedatabase.org","true",6,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"addtoany.com","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"aol.com","true",2,0,1,"digicert.com;globalsign.com"
"eventbrite.com","true",6,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;letsencrypt.org;pki.goog"
"hostgator.com","true",6,6,0,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"gitlab.com","true",11,5,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"nflximg.com","true",3,0,0,"entrust.net;pki.goog;thawte.com"
"walmart.com","true",2,0,0,"digicert.com;globalsign.com"
"google.de","true",1,0,0,"pki.goog"
"yahoo.co.jp","true",3,0,1,"cybertrust.ne.jp;digicert.com;globalsign.com"
"g.page","true",1,0,0,"pki.goog"
"hcaptcha.com","true",6,6,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"stackoverflow.com","true",6,6,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"mysql.com","true",2,0,0,"digicert.com;symantec.com"
"msidentity.com","true",0,0,0,""
"scribd.com","true",2,2,0,"amazon.com;letsencrypt.org"
"icloud-content.com","true",1,1,1,"pki.apple.com"
"duckduckgo.com","true",2,0,0,"digicert.com;letsencrypt.org"
"firefox.com","true",6,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org"
"blogger.com","true",1,0,0,"pki.goog"
"visualstudio.com","true",0,0,0,""
"ft.com","true",6,5,1,"amazon.com;certainly.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"my.com","true",3,0,0,"geotrust.com;globalsign.com;harica.gr"
"run.app","true",1,0,0,"pki.goog"
"wb.ru","true",6,6,0,"comodoca.com;globalsign.com;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"google.com.hk","true",1,0,0,"pki.goog"
"docker.com","true",6,0,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"thinkific.com","true",7,6,1,"amazon.com;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"svc.ms","true",4,0,0,"d-trust.net;digicert.com;globalsign.com;microsoft.com"
"rbxcdn.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"goskope.com","true",2,1,0,"globalsign.com;pki.goog"
"tplinkcloud.com","true",2,2,0,"amazon.com;digicert.com"
