domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"google.dk","true",1,0,0,"pki.goog"
"lectio.dk","true",1,0,0,"thawte.com"
"ku.dk","true",7,2,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"au.dk","true",6,3,1,"amazon.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"webhosting.dk","true",2,0,0,"letsencrypt.org;sectigo.com"
"tv2.dk","true",11,9,0,"affirmtrust.com;amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;rapidssl.com"
"mitid.dk","true",7,0,0,"buypass.com;digicert.com;entrust.net;globalsign.com;identrust.com;letsencrypt.org;sectigo.com"
"sdu.dk","true",7,2,1,"amazon.com;amazonaws.com;amazontrust.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org"
"aau.dk","true",2,2,0,"godaddy.com;letsencrypt.org"
"cbs.dk","true",7,7,0,"comodoca.com;digicert.com;harica.gr;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"dk-hostmaster.dk","true",2,1,1,";letsencrypt.org;sectigo.com"
"danskebank.dk","true",6,1,1,";amazon.com;comodoca.com;digicert.com;entrust.net;globalsign.com;letsencrypt.org"
"datatilsynet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"krak.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"ioi.dk","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"dsb.dk","true",4,4,0,"amazontrust.com;awstrust.com;digicert.com;letsencrypt.org"
"blogspot.dk","true",1,0,0,"pki.goog"
"fibianet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"pinterest.dk","true",1,0,0,"digicert.com"
"nordea.dk","true",5,0,2,"digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"bet365.dk","true",2,0,0,"digicert.com;pki.goog"
"danskespil.dk","true",3,0,1,"awstrust.com;digicert.com;letsencrypt.org"
"virk.dk","true",6,6,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"nordnet.dk","true",1,1,1,";digicert.com"
"jemogfix.dk","true",2,0,0,"digicert.com;letsencrypt.org"
"netic.dk","true",3,1,1,"digicert.com;globalsign.com;letsencrypt.org"
"chosting.dk","true",3,0,0,"comodo.com;comodoca.com;letsencrypt.org"
"thomann.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"coolshop.dk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"klaravik.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"stil.dk","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"fabel.dk","true",2,0,0,"certainly.com;letsencrypt.org"
"ipapercms.dk","true",4,0,0,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"nhl-data.dk","true",2,2,1,"digicert.com;letsencrypt.org;sectigo.com"
"imusic.dk","true",1,1,0,"letsencrypt.org"
"netsite.dk","true",2,2,1,"comodoca.com;letsencrypt.org"
"sitnet.dk","true",2,2,1,"digicert.com;sectigo.com"
"sundhed.dk","true",3,0,0,"amazon.com;digicert.com;letsencrypt.org"
"punktum.dk","true",3,3,1,";digicert.com;letsencrypt.org;sectigo.com"
"fdm.dk","true",3,2,1,"amazon.com;digicert.com;globalsign.com"
"lex.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.googl"
"regionh.dk","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"ens.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"deic.dk","true",3,2,0,"harica.gr;letsencrypt.org;sectigo.com"
"statens-it.dk","true",3,0,1,"digicert.com;entrust.net;sectigo.com"
"airbnb.dk","true",1,0,1,"digicert.com"
"dingeo.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"bibliotek.dk","true",1,0,1,"letsencrypt.org"
"myheritage.dk","true",1,0,0,"www.digicert.com"
"spies.dk","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"tivolicasino.dk","true",2,0,1,"digicert.com;letsencrypt.org"
"nyheder24.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"unilogin.dk","true",1,0,1,"letsencrypt.org"
"mobilepay.dk","true",3,1,1,";digicert.com;globalsign.com;godaddy.com"
"workbox.dk","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"designrus.dk","true",1,0,0,"letsencrypt.org"
"unibet.dk","true",5,4,0,"amazon.com;digicert.com;letsencrypt.org;ssl.com;trustwave.com"
"bet25.dk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"dkwebcam.dk","true",2,1,0,"globalsign.com;sectigo.com"
"legoland.dk","true",6,0,1,"amazonaws.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"i2.dk","true",3,0,0,"harica.gr;letsencrypt.org;sectigo.com"
"jubii.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"sydbank.dk","true",7,6,1,"comodoca.com;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog;ssl.com"
"pokerstars.dk","true",6,5,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"dinero.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"degulesider.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"schibsted.dk","true",3,0,0,"amazon.com;digicert.com;letsencrypt.org"
"gjensidige.dk","true",3,0,0,"buypass.no;digicert.com;letsencrypt.org"
"dansknet.dk","true",2,0,0,"globalsign.com;letsencrypt.org"
"home.dk","true",1,1,1,";globalsign.com"
"mariacasino.dk","true",3,3,0,"letsencrypt.org;ssl.com;trustwave.com"
"sparxpres.dk","true",1,0,0,"globalsign.com"
"skoleintra.dk","true",5,7,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"eatonline.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ellos.dk","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"nemtilmeld.dk","true",0,1,0,"globalsign.com"
"moensted.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"systime.dk","true",5,0,0,"amazontrust.com;comodoca.com;globalsign.com;letsencrypt.org;rapidssl.com"
"odense.dk","true",7,6,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"youtube.dk","true",1,0,0,"pki.goog"
"notino.dk","true",6,5,1,"comodoca.com;digicert.com;geotrust.com;letsencrypt.org;pki.goog;ssl.com"
"sparnord.dk","true",3,0,0,"globalsign.com;infocert.it;letsencrypt.org"
"orsted.dk","true",6,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;globalsign.com"
"feline.dk","true",2,0,0,"letsencrypt.org;rapidssl.com"
"billetten.dk","true",6,6,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"casinogo.dk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"nbi.dk","true",0,0,1,""
"dbc.dk","true",1,0,1,"letsencrypt.org"
"diis.dk","true",2,0,1,"Digicert.com;letsencrypt.org"
"clever.dk","true",4,1,0,"certainly.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"webaway.dk","true",0,1,0,"letsencrypt.org"
"billigparfume.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"dagens.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"get2net.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"csis.dk","true",2,0,1,"digicert.com;letsencrypt.org"
