domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"loopia.se","true",2,2,1,"digicert.com;sectigo.com"
"blocket.se","true",5,0,0,"amazon.com;certainly.com;digicert.com;letsencrypt.org;pki.goog"
"google.se","true",1,0,0,"pki.goog"
"netnod.se","true",2,1,1,";letsencrypt.org;netnod.se"
"hitta.se","true",4,4,0,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"kth.se","true",4,0,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"gu.se","true",6,0,0,"digicert.com;godaddy.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"svd.se","true",6,0,0,"amazon.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"ntp.se","true",1,1,1,";letsencrypt.org"
"blogspot.se","true",1,0,0,"pki.goog"
"tele2.se","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"marcusoscarsson.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"egensajt.se","true",1,0,0,"letsencrypt.org"
"skatteverket.se","true",2,1,1,";digicert.com;expisoft.se"
"stockholm.se","true",4,0,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org"
"pomf.se","true",2,2,0,"letsencrypt.org;sectigo.com"
"riksdagen.se","true",3,1,0,";digicert.com;harica.gr;sectigo.com"
"polisen.se","true",1,0,1,"digicert.com"
"tv4.se","true",6,0,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;telia.com"
"transportstyrelsen.se","true",1,1,0,"digicert.com"
"goteborg.se","true",3,1,1,"amazonaws.com;letsencrypt.org;telia.com"
"trafikverket.se","true",2,2,0,"telia.com;telia.se"
"fortnox.se","true",7,6,0,"comodoca.com;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog;ssl.com"
"eniro.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"arbetsformedlingen.se","true",3,0,3,"digicert.com;globalsign.com;letsencrypt.org"
"seb.se","true",7,0,2,"amazonaws.com;buypass.no;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
