domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"microsoft.com","true",0,0,0,""
"youtube.com","true",1,0,0,"pki.goog"
"mail.ru","true",3,0,0,"globalsign.com;harica.gr;visa.com"
"apple.com","true",1,1,1,"pki.apple.com"
"cloudflare.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"instagram.com","true",1,0,0,"digicert.com"
"facebook.com","true",1,0,0,"digicert.com"
"office.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"googleapis.com","true",1,0,0,"pki.goog"
"fbcdn.net","true",1,0,0,"digicert.com"
"live.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"gstatic.com","true",1,0,0,"pki.goog"
"linkedin.com","true",0,0,0,""
"googlevideo.com","true",1,0,0,"pki.goog"
"googletagmanager.com","true",1,0,0,"pki.goog"
"azure.com","true",0,0,0,""
"microsoftonline.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"github.com","true",4,3,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"googleusercontent.com","true",1,0,0,"pki.goog"
"bing.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"doubleclick.net","true",1,0,0,"pki.goog"
"windowsupdate.com","true",0,0,0,""
"fastly.net","true",3,0,1,"certainly.com;globalsign.com;letsencrypt.org"
"netflix.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"apple-dns.net","true",1,1,1,"pki.apple.com"
"aaplimg.com","true",1,1,1,"pki.apple.com"
"whatsapp.net","true",1,0,0,"digicert.com"
"office.net","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"digicert.com","true",1,1,0,"digicert.com"
"e2ro.com","true",2,1,1,"amazon.com;letsencrypt.org"
"pinterest.com","true",1,0,0,"digicert.com"
"icloud.com","true",1,1,1,"pki.apple.com"
"sharepoint.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"trafficmanager.net","true",0,0,0,""
"wordpress.org","true",1,0,1,"letsencrypt.org"
"windows.net","true",0,0,0,""
"youtu.be","true",1,0,0,"pki.goog"
"googlesyndication.com","true",1,0,0,"pki.goog"
"goo.gl","true",1,0,0,"pki.goog"
"whatsapp.com","true",1,0,0,"digicert.com"
"skype.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"msn.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"cloudfront.net","true",0,2,0,"amazonaws.com;digicert.com"
"vimeo.com","true",5,4,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"wikipedia.org","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"roblox.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"gvt2.com","true",1,0,0,"pki.goog"
"yandex.net","true",1,1,0,"globalsign.com"
"ytimg.com","true",1,0,0,"pki.goog"
"wa.me","true",1,0,0,"digicert.com"
"gvt1.com","true",1,0,0,"pki.goog"
"google-analytics.com","true",1,0,0,"pki.goog"
"zoom.us","true",6,0,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"googledomains.com","true",1,0,0,"pki.goog"
"office365.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"cloudflare-dns.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"yandex.ru","true",1,1,0,"globalsign.com"
"wordpress.com","true",1,1,1,"letsencrypt.org"
"yahoo.com","true",3,0,1,"digicert.com;globalsign.com;sectigo.com"
"opera.com","true",4,0,1,"digicert.com;globalsign.com;sectigo.com;trust-provider.com"
"windows.com","true",0,0,0,""
"sentry.io","true",2,0,1,"digicert.com;letsencrypt.org"
"mozilla.org","true",10,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;certainly.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"reddit.com","true",2,0,0,"digicert.com;pki.goog"
"intuit.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"googleadservices.com","true",1,0,0,"pki.goog"
"bit.ly","true",1,1,1,";digicert.com"
"blogspot.com","true",1,0,0,"pki.goog"
"dns.google","true",2,0,0,"pki.goog"
"paypal.com","true",3,0,0,"digicert.com;quovadisglobal.com;visa.com"
"github.io","true",3,3,0,"digicert.com;letsencrypt.org;sectigo.com"
"gravatar.com","true",1,0,0,"letsencrypt.org"
"dropbox.com","true",3,0,0,"amazonaws.com;digicert.com;letsencrypt.org"
"cloud.microsoft","true",2,0,1,"digicert.com;microsoft.com"
"app-measurement.com","true",1,0,0,"pki.goog"
"outlook.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
