domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"google.dk","true",1,0,0,"pki.goog"
"lectio.dk","true",1,0,0,"thawte.com"
"ku.dk","true",7,2,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"tv2.dk","true",11,9,0,"affirmtrust.com;amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;rapidssl.com"
"webhosting.dk","true",2,0,0,"letsencrypt.org;sectigo.com"
"au.dk","true",6,3,1,"amazon.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"aau.dk","true",2,2,0,"godaddy.com;letsencrypt.org"
"mitid.dk","true",7,0,0,"buypass.com;digicert.com;entrust.net;globalsign.com;identrust.com;letsencrypt.org;sectigo.com"
"sdu.dk","true",7,2,1,"amazon.com;amazonaws.com;amazontrust.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org"
"danskespil.dk","true",3,0,1,"awstrust.com;digicert.com;letsencrypt.org"
"dk-hostmaster.dk","true",2,1,1,";letsencrypt.org;sectigo.com"
"cbs.dk","true",7,7,0,"comodoca.com;digicert.com;harica.gr;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"datatilsynet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"fibianet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"krak.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"dsb.dk","true",4,4,0,"amazontrust.com;awstrust.com;digicert.com;letsencrypt.org"
"danskebank.dk","true",6,1,1,";amazon.com;comodoca.com;digicert.com;entrust.net;globalsign.com;letsencrypt.org"
"chosting.dk","true",3,0,0,"comodo.com;comodoca.com;letsencrypt.org"
"blogspot.dk","true",1,0,0,"pki.goog"
"pinterest.dk","true",1,0,0,"digicert.com"
"ioi.dk","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"virk.dk","true",6,6,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"nordea.dk","true",5,0,2,"digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"coolshop.dk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"bet365.dk","true",2,0,0,"digicert.com;pki.goog"
"netic.dk","true",3,1,1,"digicert.com;globalsign.com;letsencrypt.org"
"jemogfix.dk","true",2,0,0,"digicert.com;letsencrypt.org"
"thomann.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"klaravik.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"nhl-data.dk","true",2,2,1,"digicert.com;letsencrypt.org;sectigo.com"
"sitnet.dk","true",2,2,1,"digicert.com;sectigo.com"
"ipapercms.dk","true",4,0,0,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"sundhed.dk","true",3,0,0,"amazon.com;digicert.com;letsencrypt.org"
"stil.dk","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"fabel.dk","true",2,0,0,"certainly.com;letsencrypt.org"
"nordnet.dk","true",1,1,1,";digicert.com"
"regionh.dk","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"netsite.dk","true",2,2,1,"comodoca.com;letsencrypt.org"
"imusic.dk","true",1,1,0,"letsencrypt.org"
"lex.dk","true",3,0,0,"digicert.com;letsencrypt.org;pki.googl"
"airbnb.dk","true",1,0,1,"digicert.com"
"ens.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"punktum.dk","true",3,3,1,";digicert.com;letsencrypt.org;sectigo.com"
"deic.dk","true",3,2,0,"harica.gr;letsencrypt.org;sectigo.com"
"bibliotek.dk","true",1,0,1,"letsencrypt.org"
"fdm.dk","true",3,2,1,"amazon.com;digicert.com;globalsign.com"
"designrus.dk","true",1,0,0,"letsencrypt.org"
"legoland.dk","true",6,0,1,"amazonaws.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"jubii.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"workbox.dk","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"tivolicasino.dk","true",2,0,1,"digicert.com;letsencrypt.org"
"spies.dk","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"myheritage.dk","true",1,0,0,"www.digicert.com"
"statens-it.dk","true",3,0,1,"digicert.com;entrust.net;sectigo.com"
"nyheder24.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"unibet.dk","true",5,4,0,"amazon.com;digicert.com;letsencrypt.org;ssl.com;trustwave.com"
"degulesider.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"webaway.dk","true",0,1,0,"letsencrypt.org"
"i2.dk","true",3,0,0,"harica.gr;letsencrypt.org;sectigo.com"
"diis.dk","true",2,0,1,"Digicert.com;letsencrypt.org"
"bet25.dk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"nemtilmeld.dk","true",0,1,0,"globalsign.com"
"dkwebcam.dk","true",2,1,0,"globalsign.com;sectigo.com"
"odense.dk","true",7,6,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"sydbank.dk","true",7,6,1,"comodoca.com;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog;ssl.com"
"dansknet.dk","true",2,0,0,"globalsign.com;letsencrypt.org"
"gjensidige.dk","true",3,0,0,"buypass.no;digicert.com;letsencrypt.org"
"dinero.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"get2net.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"eatonline.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"mobilepay.dk","true",3,1,1,";digicert.com;globalsign.com;godaddy.com"
"alka.dk","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"skoleintra.dk","true",5,7,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"dform.dk","true",1,0,0,"letsencrypt.org"
"sparxpres.dk","true",1,0,0,"globalsign.com"
"home.dk","true",1,1,1,";globalsign.com"
"dingeo.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ribemediehus.dk","true",1,1,1,"letsencrypt.org"
"unilogin.dk","true",1,0,1,"letsencrypt.org"
"mariacasino.dk","true",3,3,0,"letsencrypt.org;ssl.com;trustwave.com"
"systime.dk","true",5,0,0,"amazontrust.com;comodoca.com;globalsign.com;letsencrypt.org;rapidssl.com"
"ellos.dk","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"dbc.dk","true",1,0,1,"letsencrypt.org"
"youtube.dk","true",1,0,0,"pki.goog"
"notino.dk","true",6,5,1,"comodoca.com;digicert.com;geotrust.com;letsencrypt.org;pki.goog;ssl.com"
"feline.dk","true",2,0,0,"letsencrypt.org;rapidssl.com"
"nbi.dk","true",0,0,1,""
"sparnord.dk","true",3,0,0,"globalsign.com;infocert.it;letsencrypt.org"
"moensted.dk","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"rudersdal.dk","true",4,1,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org"
"casinogo.dk","true",6,6,1,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"clever.dk","true",4,1,0,"certainly.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"pokerstars.dk","true",6,5,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"dustin.dk","true",8,6,0,"amazon.com;amazonaws.com;amazontrust.com;amazonws.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"billetten.dk","true",6,6,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
