domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"uio.no","true",1,1,1,"harica.gr"
"sparebank1.no","true",5,4,1,"amazonaws.com;buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"google.no","true",1,0,0,"pki.goog"
"online.no","true",4,5,1,"buypass.no;sectigo.com;telenor.net;trust-provider.com;usertrust.com"
"dnb.no","true",4,3,1,"amazon.com;buypass.com;digicert.com;letsencrypt.org"
"norsk-tipping.no","true",6,3,1,"amazonaws.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"uninett.no","true",4,2,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"telenor.no","true",7,3,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;letsencrypt.org;sectigo.com;telenor.net"
"norid.no","true",3,0,0,"digicert.com;letsencrypt.org;sectigo.com"
"vegvesen.no","true",1,1,0,";globalsign.com"
"dn.no","true",5,0,0,"amazonaws.com;certainly.com;digicert.com;pki.goog;sectigo.com"
"storebrand.no","true",7,0,1,"amazon.com;buypass.no;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog"
"nav.no","true",3,0,1,"buypass.com;digicert.com;sectigo.com"
"snl.no","true",2,0,0,"letsencrypt.org;pki.googl"
"abcnyheter.no","true",5,2,0,"amazon.com;amazonaws.com;digicert.com;letsencrypt.org;pki.goog"
"digitalarkivet.no","true",2,0,0,"harica.gr;sectigo.com"
"blogspot.no","true",1,0,0,"pki.goog"
"gulesider.no","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"bankid.no","true",7,6,1,"buypass.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"oslomet.no","true",2,2,1,"harica.gr;letsencrypt.org"
"nextra.no","true",1,1,1,"buypass.no;telenor.net"
"nb.no","true",3,1,0,"harica.gr;letsencrypt.org;sectigo.com"
"domeneshop.no","true",2,1,1,"digicert.com;letsencrypt.org"
"unit.no","true",3,1,1,";amazon.com;harica.gr;letsencrypt.org"
"nordea.no","true",6,0,2,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"rikstoto.no","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"fiken.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"udi.no","true",3,0,1,"buypass.no;geotrust.com;letsencrypt.org"
"forbrukerradet.no","true",3,2,0,"digicert.com;letsencrypt.org;sectigo.com"
"mykid.no","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"pcsupport.no","true",5,3,1,"buypass.no;globalsign.com;letsencrypt.com;letsencrypt.org;trustzone.com"
"nordnet.no","true",1,1,1,";digicert.com"
"bibsys.no","true",3,1,1,";amazon.com;harica.gr;letsencrypt.org"
"bi.no","true",4,1,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"gjensidige.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;pki.goog"
"stortinget.no","true",9,2,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.com;buypass.no;harica.gr;letsencrypt.org;pki.goog"
"netclient.no","true",1,0,0,"none"
"airbnb.no","true",1,0,1,"digicert.com"
"sikt.no","true",4,2,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"bib.no","true",1,0,0,"globalsign.com"
"npolar.no","true",7,0,2,"buypass.com;buypass.no;globalsign.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"imusic.no","true",1,0,0,"letsencrypt.org"
"digdir.no","true",5,0,1,"buypass.no;commfides.com;digicert.com;letsencrypt.org;sectigo.com"
"wideroe.no","true",9,6,0,"awstrust.com;buypass.no;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"rema.no","true",4,0,1,"digicert.com;entrust.net;pki.goog;sectigo.com"
"vitusapotek.no","true",4,2,0,"comodoca.com.;globalsign.com;letsencrypt.org;sectigo.com"
"kartverket.no","true",3,1,1,"buypass.com;digicert.com;letsencrypt.org"
