domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"uio.no","true",1,1,1,"harica.gr"
"google.no","true",1,0,0,"pki.goog"
"sparebank1.no","true",5,4,1,"amazonaws.com;buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"norsk-tipping.no","true",6,3,1,"amazonaws.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"storebrand.no","true",7,0,1,"amazon.com;buypass.no;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog"
"uninett.no","true",4,2,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"nav.no","true",3,0,1,"buypass.com;digicert.com;sectigo.com"
"norid.no","true",1,0,0,"letsencrypt.org"
"vegvesen.no","true",1,1,0,";globalsign.com"
"online.no","true",5,6,1,"buypass.no;letsencrypt.org;sectigo.com;telenor.net;trust-provider.com;usertrust.com"
"telenor.no","true",8,3,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;digicert.com;letsencrypt.org;sectigo.com;telenor.net"
"blogspot.no","true",1,0,0,"pki.goog"
"dn.no","true",5,0,0,"amazonaws.com;certainly.com;digicert.com;pki.goog;sectigo.com"
"helsenorge.no","true",2,1,1,";digicert.com;letsencrypt.org"
"digitalarkivet.no","true",2,0,0,"harica.gr;sectigo.com"
"abcnyheter.no","true",5,2,0,"amazon.com;amazonaws.com;digicert.com;letsencrypt.org;pki.goog"
"snl.no","true",2,0,0,"letsencrypt.org;pki.googl"
"nb.no","true",3,1,0,"harica.gr;letsencrypt.org;sectigo.com"
"bankid.no","true",7,6,1,"buypass.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"nextra.no","true",1,1,1,"buypass.no;telenor.net"
"idporten.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"domeneshop.no","true",2,1,1,"digicert.com;letsencrypt.org"
"nordea.no","true",6,0,2,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"oslomet.no","true",2,2,1,"harica.gr;letsencrypt.org"
"gulesider.no","true",6,6,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"unit.no","true",3,1,1,";amazon.com;harica.gr;letsencrypt.org"
"dnb.no","true",4,3,1,"amazon.com;buypass.com;digicert.com;letsencrypt.org"
"rikstoto.no","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"fiken.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nhn.no","true",5,0,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"nordnet.no","true",1,1,1,";digicert.com"
"udi.no","true",4,0,1,"buypass.no;geotrust.com;letsencrypt.org;sectigo.com"
"mykid.no","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"forbrukerradet.no","true",3,2,0,"digicert.com;letsencrypt.org;sectigo.com"
"gjensidige.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;pki.goog"
"lanekassen.no","true",3,1,0,";buypass.com;buypass.no;digicert.com"
"ving.no","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"airbnb.no","true",1,0,1,"digicert.com"
"stortinget.no","true",9,3,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.com;buypass.no;harica.gr;letsencrypt.org;pki.goog"
"digipost.no","true",2,1,1,"buypass.no;letsencrypt.org"
"bi.no","true",4,1,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"pcsupport.no","true",5,3,1,"buypass.no;globalsign.com;letsencrypt.com;letsencrypt.org;trustzone.com"
"sikt.no","true",4,3,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"netclient.no","true",1,0,0,"none"
"bib.no","true",1,0,0,"globalsign.com"
"bibsys.no","true",3,1,1,";amazon.com;harica.gr;letsencrypt.org"
"vitusapotek.no","true",4,2,0,"comodoca.com.;globalsign.com;letsencrypt.org;sectigo.com"
"wideroe.no","true",9,6,0,"awstrust.com;buypass.no;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"imusic.no","true",1,0,0,"letsencrypt.org"
"miljodirektoratet.no","true",6,0,1,"buypass.no;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"vktv.no","true",1,0,0,"letsencrypt.org"
"npolar.no","true",7,0,2,"buypass.com;buypass.no;globalsign.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"ellos.no","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"strawberry.no","true",5,0,0,"Digicert.com;amazonaws.com;buypass.com;letsencrypt.org;sectigo.com"
"kartverket.no","true",3,1,1,"buypass.com;digicert.com;letsencrypt.org"
"tikt.no","true",4,3,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"myheritage.no","true",1,0,0,"www.digicert.com"
"sykehuspartner.no","true",6,0,1,"buypass.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"mattilsynet.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;pki.goog"
"hi.no","true",2,0,1,"digicert.com;letsencrypt.org"
"digdir.no","true",5,0,1,"buypass.no;commfides.com;digicert.com;letsencrypt.org;sectigo.com"
"banenor.no","true",2,0,1,"buypass.no;digicert.com"
"utdanning.no","true",2,0,0,"harica.gr;sectigo.com"
"nilu.no","true",1,1,0,"harica.gr"
"cmi.no","true",3,1,0,"digicert.com;harica.gr;sectigo.com"
"rema.no","true",4,0,1,"digicert.com;entrust.net;pki.goog;sectigo.com"
"inn.no","true",2,0,1,"harica.gr;letsencrypt.org"
"mnemonic.no","true",1,0,0,"digicert.com"
"spv.no","true",6,0,0,"amazontrust.com;awstrust.com;buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"braathe.no","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"kron.no","true",1,0,0,"letsencrypt.org"
"dibk.no","true",7,5,0,"buypass.no;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"reisenett.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"munchmuseet.no","true",6,5,0,"buypass.no;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"optimalprint.no","true",5,5,0,"amazonaws.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"dustin.no","true",8,6,0,"amazon.com;amazonaws.com;amazontrust.com;amazonws.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"norge.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"youtube.no","true",1,0,0,"pki.goog"
"kystverket.no","true",6,0,1,"digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"miljofyrtarn.no","true",4,0,0,"buypass.com;letsencrypt.org;pki.goog;www.digicert.com"
"startsiden.no","true",2,0,0,"amazon.com;letsencrypt.org"
"banknorwegian.no","true",2,0,0,"digicert.com;letsencrypt.org"
"netsecurity.no","true",3,0,1,"buypass.no;letsencrypt.org;pki.goog"
"telia-isp.no","true",3,1,0,"letsencrypt.org;sonera.net;telia.fi"
"norceresearch.no","true",2,0,0,"letsencrypt.org;sectigo.com"
"thomannmusic.no","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"tdc.no","true",1,0,0,"letsencrypt.org"
"mensa.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"abcmedia.no","true",1,0,0,"letsencrypt.org"
"netonnet.no","true",3,0,1,"amazontrust.com;globalsign.com;letsencrypt.org"
"boots.no","true",5,1,0,"buypass.no;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"komplettbedrift.no","true",4,0,0,"comodo.com;globalsign.com;letsencrypt.org;symantec.com"
"upheads.no","true",5,0,1,"buypass.no;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"himolde.no","true",2,0,0,"harica.gr;letsencrypt.org"
"husbanken.no","true",2,1,1,"sectigo.com;www.digicert.com"
"fjordmail.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"hioa.no","true",1,1,1,"harica.gr"
"prisradar.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"elma-smp.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"postkodelotteriet.no","true",2,1,0,"amazon.com;globalsign.com"
"arkivverket.no","true",4,0,0,"harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"skagenfondene.no","true",5,0,1,"amazon.com;buypass.no;globalsign.com;letsencrypt.org;pki.goog"
"fiskeridir.no","true",3,0,1,"buypass.no;certainly.com;globalsign.com"
"apollo.no","true",7,7,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"gard.no","true",3,1,0,"digicert.com;geotrust.com;globalsign.com"
"difi.no","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"bankidapis.no","true",7,7,1,"buypass.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"talkmore.no","true",1,0,0,"none"
"fredrikoglouisa.no","true",1,0,0,"none"
"eiendomsmegler1.no","true",3,3,1,"amazonaws.com;letsencrypt.org;sectigo.com"
"vps.no","true",5,0,0,"comodoca.com;geotrust.com;globalsign.com;letsencrypt.org;symantec.com"
"gamereactor.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"marinebenefits.no","true",3,0,0,"letsencrypt.org;pki.goog;ssl.com"
"handelsbanken.no","true",1,1,1,";digicert.com"
"ksat.no","true",3,0,0,"harica.gr;letsencrypt.org;pki.goog"
"innocode.no","true",2,0,0,"letsencrypt.org;pki.goog"
"frende.no","true",4,0,1,"Digicert.com;awstrust.com;comodoca.com;letsencrypt.org"
"ravn.no","true",1,1,1,"letsencrypt.org"
"sticos.no","true",6,6,1,"buypass.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"statnett.no","true",6,1,1,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"nasjonaleturistveger.no","true",3,1,0,";globalsign.com;letsencrypt.org;pki.goog"
"gastroplanner.no","true",1,0,0,"letsencrypt.org"
"tjenestetorget.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"hivolda.no","true",3,1,1,"harica.gr;letsencrypt.org;sectigo.com"
"sbm.no","true",5,5,1,"globalsign.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"fagmobler.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"hipercom.no","true",1,0,0,"none"
"minid.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"kondomeriet.no","true",8,5,0,"amazon.com;cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"eika.no","true",5,4,0,"buypass.no;digicert.com;geotrust.com;globalsign.com;sectigo.com"
"sn.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"nsf.no","true",1,0,1,"buypass.no"
"spk.no","true",1,1,1,";sectigo.com"
"nytelse.no","true",7,5,0,"cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"nito.no","true",2,1,0,"letsencrypt.org;pki.goog"
"spsor.no","true",1,0,1,""
"webfokus.no","true",1,0,1,"letsencrypt.org"
"autopass.no","true",2,1,0,";letsencrypt.org;pki.goog"
"itpays.no","true",2,0,0,"comodoca.com;letsencrypt.org"
"drlinux.no","true",1,0,0,"letsencrypt.org"
"miinto.no","true",2,1,0,"certum.pl;digicert.com"
"vigilo-oas.no","true",4,0,0,"digicert.com;geotrust.com;godaddy.com;www.digicert.com"
"firstit.no","true",3,0,0,"digicert.com;letsencrypt.org;sectigo.com"
"com4.no","true",3,2,1,"digicert.com;letsencrypt.org;pki.goog"
"webgate.no","true",6,5,1,"comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"nuug.no","true",1,0,1,"letsencrypt.org"
"kryssordkjempen.no","true",1,0,0,"letsencrypt.org"
"emp-shop.no","true",8,7,1,";amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org;sectigo.com"
"ffi.no","true",5,0,0,"digicert.com;godaddy.com;letsencrypt.org;microsoft.com;sectigo.com"
"skittfiske.no","true",6,5,0,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"dyreparken.no","true",11,7,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;comodoca.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;ssl.com"
"pluto.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"folio.no","true",2,0,0,"letsencrypt.org;pki.goog"
"dataequipment.no","true",4,0,0,"buypass.no;digicert.com;godaddy.com;letsencrypt.org"
"bouvet.no","true",11,7,1,"amazon.com;comodo.com;comodoca.com;digicert.com;fastname.no;letsencrypt.org;pki.goog;sectigo.com;ssl.com;trust-provider.com;usertrust.com"
"mrfylke.no","true",3,0,0,"buypass.com;buypass.no;digicert.com"
"justervesenet.no","true",2,0,0,"comodoca.com;letsencrypt.org"
"nersc.no","true",3,2,1,"globalsign.com;letsencrypt.org;sectigo.com"
"nordicchoicehotels.no","true",2,2,1,"buypass.com;letsencrypt.org"
"wemail.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"gibbs.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"10gb.no","true",1,0,0,"letsencrypt.org"
"dips.no","true",5,0,1,"buypass.com;buypass.no;digicert.com;godaddy.com;letsencrypt.org"
"ife.no","true",4,4,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"animalia.no","true",4,2,1,"buypass.no;digicert.com;letsencrypt.org;pki.goog"
"skagerraksparebank.no","true",5,4,0,"buypass.no;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"visa.no","true",0,0,1,""
"gibud.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"tibi.no","true",1,1,0,"harica.gr"
"730.no","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"nsm.no","true",6,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"rogalandsparebank.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
"kontorgiganten.no","true",6,6,0,"awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"yahoo.no","true",1,0,1,""
