domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"cloudflare.com","true",5,5,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"microsoft.com","true",0,0,0,""
"apple.com","true",1,1,1,"pki.apple.com"
"youtube.com","true",1,0,0,"pki.goog"
"gstatic.com","true",1,0,0,"pki.goog"
"facebook.com","true",1,0,0,"digicert.com"
"googleapis.com","true",1,0,0,"pki.goog"
"mail.ru","true",3,0,0,"globalsign.com;harica.gr;visa.com"
"instagram.com","true",1,0,0,"digicert.com"
"office.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"fbcdn.net","true",1,0,0,"digicert.com"
"linkedin.com","true",0,0,0,""
"googlevideo.com","true",1,0,0,"pki.goog"
"azure.com","true",0,0,0,""
"live.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"googletagmanager.com","true",1,0,0,"pki.goog"
"github.com","true",4,3,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"wikipedia.org","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"fastly.net","true",3,0,1,"certainly.com;globalsign.com;letsencrypt.org"
"bing.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"netflix.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"apple-dns.net","true",1,1,1,"pki.apple.com"
"googleusercontent.com","true",1,0,0,"pki.goog"
"doubleclick.net","true",1,0,0,"pki.goog"
"office.net","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"whatsapp.net","true",1,0,0,"digicert.com"
"sharepoint.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"microsoftonline.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"aaplimg.com","true",1,1,1,"pki.apple.com"
"trafficmanager.net","true",0,0,0,""
"digicert.com","true",1,1,0,"digicert.com"
"pinterest.com","true",1,0,0,"digicert.com"
"windowsupdate.com","true",0,0,0,""
"youtu.be","true",1,0,0,"pki.goog"
"cloudfront.net","true",0,2,0,"amazonaws.com;digicert.com"
"icloud.com","true",1,1,1,"pki.apple.com"
"yahoo.com","true",3,0,1,"digicert.com;globalsign.com;sectigo.com"
"skype.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"windows.net","true",0,0,0,""
"whatsapp.com","true",1,0,0,"digicert.com"
"googlesyndication.com","true",1,0,0,"pki.goog"
