domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"lectio.dk","true",1,0,0,"thawte.com"
"tv2.dk","true",11,9,0,"affirmtrust.com;amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;rapidssl.com"
"ku.dk","true",7,2,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"google.dk","true",1,0,0,"pki.goog"
"au.dk","true",6,3,1,"amazon.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"webhosting.dk","true",2,0,0,"letsencrypt.org;sectigo.com"
"danskespil.dk","true",1,0,1,"digicert.com"
"sdu.dk","true",8,3,1,"amazon.com;amazonaws.com;amazontrust.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"aau.dk","true",2,2,0,"godaddy.com;letsencrypt.org"
"dk-hostmaster.dk","true",2,1,1,";;letsencrypt.org;sectigo.com"
"cbs.dk","true",7,7,0,"comodoca.com;digicert.com;harica.gr;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"dsb.dk","true",2,2,0,"digicert.com;letsencrypt.org"
"datatilsynet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"danskebank.dk","true",6,1,1,";;amazon.com;comodoca.com;digicert.com;entrust.net;globalsign.com;letsencrypt.org"
"fibianet.dk","true",4,0,1,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"krak.dk","true",6,6,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com;ssl.com"
"blogspot.dk","true",1,0,0,"pki.goog"
"mitid.dk","true",7,0,0,"buypass.com;digicert.com;entrust.net;globalsign.com;identrust.com;letsencrypt.org;sectigo.com"
"pinterest.dk","true",1,0,0,"digicert.com; cansignhttpexchanges=yes"
"ioi.dk","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"bet365.dk","true",2,0,0,"digicert.com;pki.goog"
"nordea.dk","true",5,0,2,"digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"nordnet.dk","true",1,1,1,";;digicert.com"
"netic.dk","true",3,1,1,"digicert.com;globalsign.com;letsencrypt.org"
"stil.dk","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"jemogfix.dk","true",2,0,0,"digicert.com;letsencrypt.org"
"ipapercms.dk","true",4,0,0,"amazon.com;digicert.com;letsencrypt.org;pki.goog"
"sitnet.dk","true",2,2,1,"digicert.com;sectigo.com"
"virk.dk","true",6,6,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;globalsign.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
