domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"uio.no","true",1,1,1,"harica.gr"
"google.no","true",1,0,0,"pki.goog"
"dnb.no","true",4,3,1,"amazon.com;buypass.com;digicert.com;letsencrypt.org"
"uninett.no","true",4,2,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"helsenorge.no","true",2,1,1,";;digicert.com;letsencrypt.org"
"norid.no","true",3,0,0,"digicert.com;letsencrypt.org;validationmethods=dns-01;sectigo.com"
"vegvesen.no","true",1,1,0,";;globalsign.com"
"online.no","true",4,5,1,"buypass.no;sectigo.com;telenor.net;trust-provider.com;usertrust.com"
"telenor.no","true",7,3,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;letsencrypt.org;sectigo.com;telenor.net"
"nextra.no","true",1,1,1,"buypass.no;telenor.net"
"dn.no","true",5,0,0,"amazonaws.com;certainly.com;digicert.com;pki.goog;sectigo.com"
"sparebank1.no","true",5,4,1,"amazonaws.com;buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"nav.no","true",3,0,1,"buypass.com;digicert.com;sectigo.com"
"blogspot.no","true",1,0,0,"pki.goog"
"norsk-tipping.no","true",6,3,1,"amazonaws.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"snl.no","true",2,0,0,"letsencrypt.org;pki.googl"
"abcnyheter.no","true",5,2,0,"amazon.com;amazonaws.com;digicert.com;letsencrypt.org;pki.goog"
"bankid.no","true",7,6,1,"buypass.com;comodoca.com;digicert.com; cansignhttpexchanges=yes;globalsign.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"storebrand.no","true",7,0,1,"amazon.com;buypass.no;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog"
"digitalarkivet.no","true",1,0,0,"sectigo.com"
"gulesider.no","true",6,6,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com;ssl.com"
"unit.no","true",3,1,1,";;amazon.com;harica.gr;letsencrypt.org"
"domeneshop.no","true",2,1,1,"digicert.com;letsencrypt.org"
"nordea.no","true",6,0,2,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"nb.no","true",3,1,0,"harica.gr;letsencrypt.org;sectigo.com"
"nordnet.no","true",1,1,1,";;digicert.com"
"oslomet.no","true",2,2,1,"harica.gr;letsencrypt.org"
"gjensidige.no","true",4,0,1,"buypass.no;digicert.com;letsencrypt.org;pki.goog"
"rikstoto.no","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"mykid.no","true",5,5,1,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"fiken.no","true",5,5,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"nhn.no","true",5,0,1,"digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com;ssl.com"
"forbrukerradet.no","true",2,0,0,"digicert.com;letsencrypt.org"
"ving.no","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"netclient.no","true",1,0,0,"none"
"udi.no","true",3,0,1,"buypass.no;geotrust.com;letsencrypt.org"
"pcsupport.no","true",5,3,1,"buypass.no;globalsign.com;letsencrypt.com;letsencrypt.org;trustzone.com"
"bibsys.no","true",3,1,1,";;amazon.com;harica.gr;letsencrypt.org"
"bi.no","true",4,1,1,"digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"stortinget.no","true",9,2,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.com;buypass.no;harica.gr;letsencrypt.org;pki.goog; cansignhttpexchanges=yes"
"vitusapotek.no","true",4,2,0,"comodoca.com.;globalsign.com;letsencrypt.org;sectigo.com"
"rema.no","true",4,0,1,"digicert.com;entrust.net;pki.goog;sectigo.com"
"strawberry.no","true",4,0,0,"Digicert.com;amazonaws.com;buypass.com;letsencrypt.org"
"sykehuspartner.no","true",6,0,1,"buypass.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"wideroe.no","true",9,6,0,"awstrust.com;buypass.no;comodoca.com;digicert.com; cansignhttpexchanges=yes;globalsign.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com;ssl.com"
"digipost.no","true",2,1,1,"buypass.no;letsencrypt.org"
"vktv.no","true",1,0,0,"letsencrypt.org"
"myheritage.no","true",1,0,0,"www.digicert.com"
"ellos.no","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"bib.no","true",1,0,0,"globalsign.com"
"npolar.no","true",6,0,2,"buypass.com;buypass.no;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"kartverket.no","true",3,1,1,"buypass.com;digicert.com;letsencrypt.org"
"tikt.no","true",6,3,1,"buypass.com;buypass.no;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"banenor.no","true",2,0,1,"buypass.no;digicert.com"
"miljodirektoratet.no","true",6,0,1,"buypass.no;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"braathe.no","true",4,0,0,"digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"airbnb.no","true",1,0,1,"digicert.com"
"inn.no","true",2,0,1,"harica.gr;letsencrypt.org"
"mnemonic.no","true",1,0,0,"digicert.com"
"sikt.no","true",4,2,0,"amazon.com;harica.gr;letsencrypt.org;sectigo.com"
"spv.no","true",6,0,0,"amazontrust.com;awstrust.com;buypass.no;digicert.com;letsencrypt.org;sectigo.com"
"osloskole.no","true",5,5,1,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"startsiden.no","true",2,0,0,"amazon.com;letsencrypt.org"
"imusic.no","true",1,0,0,"letsencrypt.org"
"telia-isp.no","true",3,1,0,"letsencrypt.org;sonera.net;telia.fi"
"mattilsynet.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;pki.goog"
"youtube.no","true",1,0,0,"pki.goog"
"nilu.no","true",1,1,0,"harica.gr"
"tdc.no","true",1,0,0,"letsencrypt.org"
"reisenett.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"dibk.no","true",7,5,0,"buypass.no;comodoca.com;digicert.com; cansignhttpexchanges=yes;godaddy.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"norceresearch.no","true",2,0,0,"letsencrypt.org;sectigo.com"
"utdanning.no","true",2,0,0,"harica.gr;sectigo.com"
"banknorwegian.no","true",2,0,0,"digicert.com;letsencrypt.org"
"netonnet.no","true",3,0,1,"amazontrust.com;globalsign.com;letsencrypt.org"
"cmi.no","true",3,1,0,"digicert.com;harica.gr;sectigo.com"
"kystverket.no","true",5,0,1,"buypass.no;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"fjordmail.no","true",5,5,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"boots.no","true",5,1,0,"buypass.no;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"pluto.no","true",4,1,0,"buypass.com;digicert.com;letsencrypt.org;sectigo.com"
"arkivverket.no","true",3,0,0,"letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com"
"innocode.no","true",2,0,0,"letsencrypt.org;pki.goog"
"dyreparken.no","true",11,7,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;buypass.no;comodoca.com;digicert.com; cansignhttpexchanges=yes;godaddy.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"husbanken.no","true",2,1,1,"sectigo.com;www.digicert.com"
"mensa.no","true",5,5,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"komplettbedrift.no","true",4,0,0,"comodo.com;globalsign.com;letsencrypt.org;symantec.com"
"statnett.no","true",6,1,1,"buypass.no;digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"upheads.no","true",5,0,1,"buypass.no;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"digdir.no","true",5,0,1,"buypass.no;commfides.com;digicert.com;letsencrypt.org;sectigo.com"
"bankidapis.no","true",7,7,1,"buypass.com;comodoca.com;digicert.com; cansignhttpexchanges=yes;globalsign.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"apollo.no","true",7,6,1,"amazonaws.com;comodoca.com;digicert.com; cansignhttpexchanges=yes;globalsign.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"handelsbanken.no","true",1,1,1,";;digicert.com"
"gastroplanner.no","true",1,0,0,"letsencrypt.org"
"nsf.no","true",1,0,1,"buypass.no"
"eika.no","true",4,4,0,"buypass.no;digicert.com;globalsign.com;sectigo.com"
"miinto.no","true",2,1,0,"certum.pl;digicert.com"
"munchmuseet.no","true",6,5,0,"buypass.no;comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"frende.no","true",4,0,1,"Digicert.com;awstrust.com;comodoca.com;letsencrypt.org"
"marinebenefits.no","true",3,0,0,"letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"drlinux.no","true",1,0,0,"letsencrypt.org"
"talkmore.no","true",1,0,0,"none"
"autopass.no","true",2,1,0,";;letsencrypt.org;pki.goog; cansignhttpexchanges=yes"
"vps.no","true",5,0,0,"comodoca.com;geotrust.com;globalsign.com;letsencrypt.org;symantec.com"
"fredrikoglouisa.no","true",1,0,0,"none"
"spk.no","true",1,1,1,";;sectigo.com"
"vigilo-oas.no","true",4,0,0,"digicert.com;geotrust.com;godaddy.com;www.digicert.com"
"tjenestetorget.no","true",5,5,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"gard.no","true",3,1,0,"digicert.com;geotrust.com;globalsign.com"
"fiskeridir.no","true",3,0,1,"buypass.no;certainly.com;validationmethods=dns-01;globalsign.com"
"eiendomsmegler1.no","true",3,3,1,"amazonaws.com;letsencrypt.org;sectigo.com"
"nasjonaleturistveger.no","true",3,1,0,";;globalsign.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes"
"dustin.no","true",8,6,0,"amazon.com;amazonaws.com;amazontrust.com;amazonws.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"sbm.no","true",1,1,0,"globalsign.com"
"norge.no","true",2,0,1,"buypass.no;letsencrypt.org"
"sbanken.no","true",5,0,1,"awstrust.com;buypass.com;digicert.com;letsencrypt.org;pki.goog"
"webfokus.no","true",1,0,1,"letsencrypt.org"
"nuug.no","true",1,0,1,"letsencrypt.org"
"firstit.no","true",3,0,0,"digicert.com;letsencrypt.org;sectigo.com"
"kondomeriet.no","true",4,0,0,"amazon.com;cloudflare.com;letsencrypt.org;sectigo.com"
"minid.no","true",2,0,1,"buypass.no;letsencrypt.org"
"dustinhome.no","true",8,6,0,"amazon.com;amazonaws.com;amazontrust.com;amazonws.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"thomannmusic.no","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"webgate.no","true",6,5,1,"comodoca.com;digicert.com; cansignhttpexchanges=yes;godaddy.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"sticos.no","true",6,6,1,"buypass.com;comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"gamereactor.no","true",5,5,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"postkodelotteriet.no","true",2,1,0,"amazon.com;globalsign.com"
"nytelse.no","true",7,5,0,"cloudflare.com;comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com;ssl.com"
"youpark.no","true",6,6,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;godaddy.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"mrfylke.no","true",3,0,0,"buypass.com;buypass.no;digicert.com"
"dips.no","true",5,0,1,"buypass.com;buypass.no;digicert.com;godaddy.com;letsencrypt.org"
"dnbbank.no","true",5,0,1,"amazon.com;buypass.com;digicert.com;dvv.fi;fineid.fi"
"ravn.no","true",1,1,1,"letsencrypt.org"
"folio.no","true",2,0,0,"letsencrypt.org;pki.goog"
"sv.no","true",2,0,1,"buypass.no;letsencrypt.org"
"reseptformidleren.no","true",2,0,0,"buypass.no;letsencrypt.org"
"kjernejournal-test.no","true",1,1,0,";;letsencrypt.org"
"prisradar.no","true",5,5,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"hioa.no","true",1,1,1,"harica.gr"
"skittfiske.no","true",6,5,0,"amazon.com;comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"hivolda.no","true",3,1,1,"harica.gr;letsencrypt.org;sectigo.com"
"skagenfondene.no","true",5,0,1,"amazon.com;buypass.no;globalsign.com;letsencrypt.org;pki.goog"
"ife.no","true",4,4,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"abcmedia.no","true",1,0,0,"letsencrypt.org"
"com4.no","true",3,2,1,"digicert.com;letsencrypt.org;pki.goog"
"animalia.no","true",4,2,1,"buypass.no;digicert.com;letsencrypt.org;pki.goog"
"justervesenet.no","true",2,0,0,"comodoca.com;letsencrypt.org"
"itpays.no","true",2,0,0,"comodoca.com;letsencrypt.org"
"optimalprint.no","true",5,5,0,"amazonaws.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com"
"nersc.no","true",3,2,1,"globalsign.com;letsencrypt.org;sectigo.com"
"nito.no","true",2,1,0,"letsencrypt.org;pki.goog; cansignhttpexchanges=yes"
"fagmobler.no","true",5,5,0,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"hipercom.no","true",1,0,0,"none"
"horze.no","true",5,0,0,"digicert.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com;ssl.com"
"skagerraksparebank.no","true",5,4,0,"buypass.no;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"yahoo.no","true",1,0,1,";"
"visa.no","true",0,0,1,""
"sn.no","true",3,2,0,"buypass.no;globalsign.com;sectigo.com"
