domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"loopia.se","true",2,2,1,"digicert.com;sectigo.com"
"google.se","true",1,0,0,"pki.goog"
"netnod.se","true",2,1,1,"letsencrypt.org;netnod.se"
"blocket.se","true",5,0,0,"amazon.com;certainly.com;digicert.com;letsencrypt.org;pki.goog"
"hitta.se","true",4,4,0,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"svd.se","true",6,0,0,"amazon.com;buypass.com;digicert.com;globalsign.com;letsencrypt.org;sectigo.com"
"kth.se","true",4,0,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"ntp.se","true",1,1,1,"letsencrypt.org"
"gu.se","true",6,0,0,"digicert.com;godaddy.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"pomf.se","true",2,2,0,"letsencrypt.org;sectigo.com"
"tele2.se","true",3,0,1,"digicert.com;letsencrypt.org;sectigo.com"
"blogspot.se","true",1,0,0,"pki.goog"
"skatteverket.se","true",2,1,1,"digicert.com;expisoft.se"
"stockholm.se","true",4,0,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org"
"riksdagen.se","true",3,1,0,"digicert.com;harica.gr;sectigo.com"
"polisen.se","true",1,0,1,"digicert.com"
"nmugroup.se","true",1,1,1,"letsencrypt.org"
"tv4.se","true",6,0,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;telia.com"
"transportstyrelsen.se","true",1,1,0,"digicert.com"
"seb.se","true",7,0,2,"amazonaws.com;buypass.no;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
"egensajt.se","true",1,0,0,"letsencrypt.org"
"goteborg.se","true",3,1,1,"amazonaws.com;letsencrypt.org;telia.com"
"fortnox.se","true",7,6,0,"comodoca.com;digicert.com;globalsign.com;infocert.it;letsencrypt.org;pki.goog;ssl.com"
"trafikverket.se","true",2,2,0,"telia.com;telia.se"
"eniro.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"arbetsformedlingen.se","true",3,0,3,"digicert.com;globalsign.com;letsencrypt.org"
"handelsbanken.se","true",1,1,1,"digicert.com"
"pinterest.se","true",1,0,0,"digicert.com"
"broadview.se","true",2,0,0,"letsencrypt.org;sectigo.com"
"nordea.se","true",5,0,2,"digicert.com;entrust.net;globalsign.com;letsencrypt.org;sectigo.com"
"booli.se","true",10,5,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;cloudflare.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"domainnetwork.se","true",1,0,0,"sectigo.com"
"ellos.se","true",5,2,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"vackertvader.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"klaravik.se","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"tink.se","true",5,0,1,"amazon.com;digicert.com;letsencrypt.org;multicert.com;sectigo.com"
"csn.se","true",4,2,0,"acme.trust.telia.com;digicert.com;letsencrypt.org;telia.com"
"comviq.se","true",2,0,1,"letsencrypt.org;sectigo.com"
"netonnet.se","true",3,0,1,"amazontrust.com;globalsign.com;letsencrypt.org"
"pensionsmyndigheten.se","true",2,1,1,"expisoft.se;globalsign.com"
"ancestry.se","true",6,5,0,"amazon.com;comodoca.com;digicert.com;globalsign.com;pki.goog;thawte.com"
"marcusoscarsson.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"msb.se","true",3,3,1,"globalsign.com;letsencrypt.org;telia.com"
"myheritage.se","true",1,0,0,"www.digicert.com"
"thomann.se","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"mdfnet.se","true",1,1,1,"comodo.com;letsencrypt.org"
"kundo.se","true",6,0,0,"amazon.com;digicert.com;globalsign.com;harica.gr;letsencrypt.org;sectigo.com"
"comhem.se","true",2,0,1,"digicert.com;sectigo.com"
"accum.se","true",2,1,1,"letsencrypt.org;sectigo.com"
"nibe.se","true",3,2,0,"digicert.com;letsencrypt.org;pki.goog"
"hornbach.se","true",5,4,1,"amazon.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"swedavia.se","true",5,4,1,"amazon.com;comodoca.com;digicert.com;letsencrypt.org;telia.com"
"nordnet.se","true",1,1,1,"digicert.com"
"ving.se","true",3,0,0,"digicert.com;globalsign.com;letsencrypt.org"
"hhs.se","true",6,0,0,"digicert.com;entrust.net;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"allas.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"ahlens.se","true",6,5,0,"comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"imy.se","true",3,0,0,"globalsign.com;letsencrypt.org;sectigo.com"
"familjeliv.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"fi.se","true",2,0,0,"digicert.com;sectigo.com"
"mil.se","true",1,1,1,"digicert.com"
"skandia.se","true",1,1,1,"digicert.com"
"pts.se","true",1,0,1,"godaddy.com"
"hant.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"elle.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"oderland.se","true",5,0,0,"comodoca.com;geotrust.com;letsencrypt.org;rapidssl.com;symantec.com"
"named.se","true",1,1,1,"letsencrypt.org"
"starwebserver.se","true",3,3,1,"amazon.com;comodoca.com;letsencrypt.org"
"skelleftea.se","true",2,0,0,"letsencrypt.org;symantec.com"
"griffel.se","true",3,0,1,"amazon.com;digicert.com;letsencrypt.org"
"compricer.se","true",4,3,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org"
"unibet.se","true",4,3,0,"amazon.com;letsencrypt.org;ssl.com;trustwave.com"
"studentnatet.se","true",2,0,0,"letsencrypt.org;sectigo.com"
"spp.se","true",6,0,1,"amazon.com;buypass.no;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"ginza.se","true",1,1,0,"sectigo.com"
"svenskdam.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"apollo.se","true",7,7,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;ssl.com"
"forsvarsmakten.se","true",1,1,1,"digicert.com"
"iis.se","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"dinstudio.se","true",4,2,0,"globalsign.com;godaddy.com;letsencrypt.org;sectigo.com"
"strawberry.se","true",5,0,0,"Digicert.com;amazonaws.com;buypass.com;letsencrypt.org;sectigo.com"
"sportadmin.se","true",4,1,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"interlan.se","true",4,0,0,"awstrust.com;comodoca.com;digicert.com;letsencrypt.org"
"gamereactor.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"kronofogden.se","true",1,1,1,"digicert.com"
"bksn.se","true",2,1,0,"letsencrypt.org;sectigo.com"
"fassberg.se","true",1,0,0,"letsencrypt.org"
"grnh.se","true",7,6,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;godaddy.com;letsencrypt.org"
"efn.se","true",1,1,1,"digicert.com"
"hv.se","true",3,1,0,"digicert.com;harica.gr;sectigo.com"
"kivra.se","true",3,1,1,"digicert.com;letsencrypt.org;pki.goog"
"vinnova.se","true",3,0,1,"digicert.com;harica.gr;sectigo.com"
"sis.se","true",3,2,0,"digicert.com;letsencrypt.org;pki.goog"
"hig.se","true",3,2,0,"harica.gr;letsencrypt.org;sectigo.com"
"femina.se","true",6,6,0,"amazonaws.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"hsb.se","true",6,3,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;sectigo.com"
"teracom.se","true",2,0,1,"Digicert.com;letsencrypt.org"
"reseguiden.se","true",9,5,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
"deloox.se","true",1,0,1,"sectigo.com"
"univer.se","true",4,4,0,"amazon.com;certainly.com;letsencrypt.org;pki.goog;sectigo.com"
"mau.se","true",5,5,0,"digicert.com;harica.gr;letsencrypt.org;pki.goog;sectigo.com"
"webhotel24.se","true",1,0,0,"letsencrypt.org"
"bluerange.se","true",2,1,0,"comodoca.com;letsencrypt.org"
"molndal.se","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"naturskyddsforeningen.se","true",8,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog"
"svk.se","true",6,5,1,"amazon.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com;ssl.com"
"his.se","true",3,0,1,"harica.gr;letsencrypt.org;sectigo.com"
"caspeco.se","true",1,1,1,"letsencrypt.org"
"irf.se","true",2,0,1,"harica.gr;letsencrypt.org"
"danskebank.se","true",3,1,1,"amazon.com;entrust.net;globalsign.com"
"gavle.se","true",2,0,0,"letsencrypt.org;telia.com"
"hj.se","true",2,0,1,"harica.gr;letsencrypt.org"
"internetstiftelsen.se","true",2,0,1,"comodoca.com;letsencrypt.org"
"krisinformation.se","true",3,3,1,"globalsign.com;letsencrypt.org;telia.com"
"lund.se","true",3,0,1,"digicert.com;globalsign.com;letsencrypt.org"
"norrkoping.se","true",2,0,1,"globalsign.com;letsencrypt.org"
"mah.se","true",4,4,0,"digicert.com;harica.gr;letsencrypt.org;sectigo.com"
"addpro.se","true",2,0,0,"digicert.com;godaddy.com"
"airbnb.se","true",1,0,1,"digicert.com"
"bingel.se","true",1,0,0,"amazon.com"
"ju.se","true",2,0,1,"harica.gr;letsencrypt.org"
"qasa.se","true",5,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;letsencrypt.org"
"lakemedelsverket.se","true",4,1,1,"digicert.com;letsencrypt.org;pki.goog;telia.com"
"ekonomibladet.se","true",5,5,0,"comodoca.com;digicert.com;letsencrypt.org;pki.goog;ssl.com"
