domain,has_caa,issue_count,issuewild_count,iodef_count,ca_list
"microsoft.com","true",0,0,0,""
"apple.com","true",1,1,1,"pki.apple.com"
"instagram.com","true",1,0,0,"digicert.com; account=271b0beda0771d006aa3a6c11b05187d456d6c239b46cb5241196095b09c92af"
"cloudflare.com","true",5,5,1,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"facebook.com","true",1,0,0,"digicert.com; account=271b0beda0771d006aa3a6c11b05187d456d6c239b46cb5241196095b09c92af"
"googleapis.com","true",1,0,0,"pki.goog"
"youtube.com","true",1,0,0,"pki.goog"
"mail.ru","true",3,0,0,"globalsign.com;harica.gr;visa.com"
"live.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"office.com","true",5,0,1,"digicert.com;dtrust.de;entrust.net;globalsign.com;microsoft.com"
"gstatic.com","true",1,0,0,"pki.goog"
"googlevideo.com","true",1,0,0,"pki.goog"
"fbcdn.net","true",1,0,0,"digicert.com; account=271b0beda0771d006aa3a6c11b05187d456d6c239b46cb5241196095b09c92af"
"googletagmanager.com","true",1,0,0,"pki.goog"
"microsoftonline.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"linkedin.com","true",0,0,0,""
"doubleclick.net","true",1,0,0,"pki.goog"
"github.com","true",3,2,0,"digicert.com;globalsign.com;sectigo.com"
"azure.com","true",0,0,0,""
"googleusercontent.com","true",1,0,0,"pki.goog"
"windowsupdate.com","true",0,0,0,""
"bing.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"office.net","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"fastly.net","true",3,0,1,"certainly.com;validationmethods=dns-01;globalsign.com;letsencrypt.org;validationmethods=dns-01"
"whatsapp.net","true",1,0,0,"digicert.com; account=271b0beda0771d006aa3a6c11b05187d456d6c239b46cb5241196095b09c92af"
"netflix.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"wikipedia.org","true",3,0,1,"digicert.com;letsencrypt.org;pki.goog"
"apple-dns.net","true",1,1,1,"pki.apple.com"
"digicert.com","true",1,1,0,"digicert.com"
"aaplimg.com","true",1,1,1,"pki.apple.com"
"icloud.com","true",1,1,1,"pki.apple.com"
"trafficmanager.net","true",0,0,0,""
"pinterest.com","true",1,0,0,"digicert.com; cansignhttpexchanges=yes"
"e2ro.com","true",2,1,1,"amazon.com;letsencrypt.org"
"yahoo.com","true",3,0,1,"digicert.com;globalsign.com;sectigo.com"
"googlesyndication.com","true",1,0,0,"pki.goog"
"youtu.be","true",1,0,0,"pki.goog"
"sharepoint.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"windows.net","true",0,0,0,""
"skype.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"whatsapp.com","true",1,0,0,"digicert.com; account=271b0beda0771d006aa3a6c11b05187d456d6c239b46cb5241196095b09c92af"
"goo.gl","true",1,0,0,"pki.goog"
"roblox.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"msn.com","true",3,0,0,"digicert.com;globalsign.com;microsoft.com"
"vimeo.com","true",5,4,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog; cansignhttpexchanges=yes"
"cloudfront.net","true",0,2,0,"amazonaws.com;digicert.com"
"gvt2.com","true",1,0,0,"pki.goog"
"gvt1.com","true",1,0,0,"pki.goog"
"ytimg.com","true",1,0,0,"pki.goog"
"bit.ly","true",1,1,1,";;digicert.com"
"zoom.us","true",6,0,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog;sectigo.com"
"wordpress.org","true",1,0,1,"letsencrypt.org;validationmethods=dns-01;accounturi=https://acme-v02.api.letsencrypt.org/acme/acct/53691143"
"opera.com","true",4,0,1,"digicert.com;globalsign.com;sectigo.com;trust-provider.com"
"office365.com","true",3,0,1,"digicert.com;globalsign.com;microsoft.com"
"wordpress.com","true",1,1,1,"letsencrypt.org;validationmethods=dns-01;accounturi=https://acme-v02.api.letsencrypt.org/acme/acct/36334489"
"google-analytics.com","true",1,0,0,"pki.goog"
"yandex.net","true",1,1,0,"globalsign.com"
"cloudflare-dns.com","true",5,5,1,"comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;ssl.com"
"wa.me","true",1,0,0,"digicert.com; account=271b0beda0771d006aa3a6c11b05187d456d6c239b46cb5241196095b09c92af"
"googledomains.com","true",1,0,0,"pki.goog"
"reddit.com","true",2,0,0,"digicert.com; cansignhttpexchanges=yes;pki.goog"
"windows.com","true",0,0,0,""
"googleadservices.com","true",1,0,0,"pki.goog"
"mozilla.org","true",10,0,1,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;certainly.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;sectigo.com"
"blogspot.com","true",1,0,0,"pki.goog"
"criteo.com","true",5,0,0,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;pki.goog"
"intuit.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"sentry.io","true",2,0,1,"digicert.com;letsencrypt.org"
"github.io","true",3,2,0,"digicert.com;letsencrypt.org;sectigo.com"
"dns.google","true",2,0,0,"pki.goog"
"app-measurement.com","true",1,0,0,"pki.goog"
"apache.org","true",3,0,1,"globalsign.com;letsencrypt.org;sectigo.com"
"dropbox.com","true",3,0,0,"amazonaws.com;digicert.com;letsencrypt.org;validationmethods=dns-01;accounturi=https://acme-v02.api.letsencrypt.org/acme/acct/2079416047"
"gravatar.com","true",1,0,0,"letsencrypt.org;validationmethods=dns-01;accounturi=https://acme-v02.api.letsencrypt.org/acme/acct/36334489"
"paypal.com","true",3,0,0,"digicert.com;quovadisglobal.com;visa.com"
"outlook.com","true",4,0,1,"digicert.com;entrust.net;globalsign.com;microsoft.com"
"msftncsi.com","true",0,0,1,""
"cloud.microsoft","true",2,0,1,"digicert.com;microsoft.com"
"yandex.ru","true",1,1,0,"globalsign.com"
"tumblr.com","true",4,0,1,"comodoca.com;digicert.com;letsencrypt.org;pki.goog"
"app-analytics-services.com","true",1,0,0,"pki.goog"
"steamserver.net","true",2,0,1,"digicert.com;letsencrypt.org"
"pki.goog","true",1,0,0,"pki.goog"
"ggpht.com","true",1,0,0,"pki.goog"
"nih.gov","true",7,6,0,"amazon.com;digicert.com;entrust.net;godaddy.com;identrust.com;letsencrypt.org;sectigo.com"
"nytimes.com","true",9,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;comodoca.com;digicert.com;letsencrypt.org;pki.goog;symantec.com"
"flickr.com","true",4,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org"
"f5.com","true",7,0,1,"amazon.com;comodoca.com;digicert.com;entrust.net;letsencrypt.org;pki.goog;sectigo.com"
"wildberries.ru","true",6,6,0,"comodoca.com;globalsign.com;letsencrypt.org;sectigo.com;trust-provider.com;usertrust.com"
"ozon.ru","true",4,4,1,"emsign.com;globalsign.com;harica.gr;letsencrypt.org"
"taboola.com","true",1,1,1,"digicert.com"
"medium.com","true",7,3,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;letsencrypt.org;pki.goog"
"aliyuncs.com","true",1,0,1,"globalsign.com"
"rbxcdn.com","true",6,0,1,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"msftconnecttest.com","true",0,0,1,""
"soundcloud.com","true",9,0,0,"amazon.com;amazonaws.com;amazontrust.com;awstrust.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"android.com","true",1,0,0,"pki.goog"
"cdn-apple.com","true",1,1,1,"pki.apple.com"
"azurefd.net","true",3,2,0,"digicert.com;digicert.com; account=37519e363bd0f3f470682383a25b2daa13232906ff77b9eb03d1269486782a2a;digicert.com; account=4735470c395ee719a2a0c2a15a49193ff5add1d47d164d31d186797e73892a18;microsoft.com"
"adtrafficquality.google","true",1,0,0,"pki.goog"
"nflxso.net","true",2,0,0,"pki.goog;thawte.com"
"w3.org","true",7,6,1,"amazon.com;comodoca.com;digicert.com; cansignhttpexchanges=yes;letsencrypt.org;pki.goog; cansignhttpexchanges=yes;sectigo.com;ssl.com"
"doubleverify.com","true",4,8,1,"amazon.com;digicert.com;godaddy.com;letsencrypt.org;microsoft.com;pki.apple.com;pki.goog;sectigo.com"
"forbes.com","true",7,0,1,"amazon.com;digicert.com;geotrust.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"azurewebsites.net","true",0,0,0,""
"bbc.co.uk","true",3,1,1,"amazon.com;digicert.com;globalsign.com"
"sourceforge.net","true",4,0,1,"amazon.com;digicert.com;letsencrypt.org;sectigo.com"
"gmail.com","true",1,0,0,"pki.goog"
"bbc.com","true",3,1,1,"amazon.com;digicert.com;globalsign.com"
"webex.com","true",6,2,1,"amazon.com;digicert.com;globalsign.com;identrust.com;letsencrypt.org;pki.goog"
"oracle.com","true",3,0,0,"digicert.com;letsencrypt.org;pki.goog"
"weather.com","true",6,0,0,"amazon.com;digicert.com;globalsign.com;letsencrypt.org;pki.goog;sectigo.com"
"netangels.ru","true",2,0,0,"globalsign.com;letsencrypt.org"
"ubuntu.com","true",3,2,1,"digicert.com;letsencrypt.org;letsencrypt.org; accounturi=https://acme-v01.api.letsencrypt.org/acme/reg/32541290"
